,date,value
0,2023-03-20 17:25:11.647744,
1,2023-03-20 17:25:13.024173,
2,2023-03-20 17:25:14.395514,
3,2023-03-20 17:25:17.685152,
4,2023-03-20 17:25:19.518255,
5,2023-03-20 17:25:21.639854,
6,2023-03-20 17:25:23.532546,
7,2023-03-20 17:25:25.490914,
8,2023-03-20 17:25:27.438091,
9,2023-03-20 17:25:29.188211,
10,2023-03-20 17:25:30.701111,
11,2023-03-20 17:25:31.559550,
12,2023-03-20 17:25:32.452748,
13,2023-03-20 17:25:33.302786,
14,2023-03-20 17:25:34.727418,
15,2023-03-20 17:25:35.555399,
16,2023-03-20 17:25:36.981999,
17,2023-03-20 17:25:38.873692,
18,2023-03-20 17:25:41.120823,
19,2023-03-20 17:25:43.453323,
20,2023-03-20 17:25:45.519556,
21,2023-03-20 17:25:46.924335,
22,2023-03-20 17:25:48.766506,
23,2023-03-20 17:25:50.277269,
24,2023-03-20 17:25:51.289811,
25,2023-03-20 17:25:52.299582,
26,2023-03-20 17:25:53.181994,
27,2023-03-20 17:25:55.371398,
28,2023-03-20 17:25:56.942738,
29,2023-03-20 17:26:00.030078,
30,2023-03-20 17:26:00.976340,
31,2023-03-20 17:26:05.041643,
32,2023-03-20 17:26:07.218229,
33,2023-03-20 17:26:08.690093,
34,2023-03-20 17:26:10.985083,
35,2023-03-20 17:26:12.446258,
36,2023-03-20 17:26:13.313263,
37,2023-03-20 17:26:14.699159,
38,2023-03-20 17:26:15.574286,
39,2023-03-20 17:26:17.593309,
40,2023-03-20 17:26:19.378555,
41,2023-03-20 17:26:20.794102,
42,2023-03-20 17:26:22.113529,
43,2023-03-20 17:26:23.679455,
44,2023-03-20 17:26:25.625875,
45,2023-03-20 17:26:27.817418,
46,2023-03-20 17:26:30.003302,
47,2023-03-20 17:26:32.229011,
48,2023-03-20 17:26:34.507236,
49,2023-03-20 17:26:36.511883,
50,2023-03-20 17:26:37.948479,
51,2023-03-20 17:26:39.920410,
52,2023-03-20 17:26:41.440129,
53,2023-03-20 17:26:43.432890,
54,2023-03-20 17:26:45.032102,
55,2023-03-20 17:26:46.929672,
56,2023-03-20 17:26:48.398448,
57,2023-03-20 17:26:49.825609,
58,2023-03-20 17:26:51.762131,
59,2023-03-20 17:26:53.273286,
60,2023-03-20 17:26:54.868703,
61,2023-03-20 17:26:56.809387,
62,2023-03-20 17:26:57.641280,
63,2023-03-20 17:26:58.447990,
64,2023-03-20 17:26:59.869850,
65,2023-03-20 17:27:01.443867,
66,2023-03-20 17:27:03.487610,
67,2023-03-20 17:27:05.556379,
68,2023-03-20 17:27:07.501318,
69,2023-03-20 17:27:08.930271,
70,2023-03-20 17:27:11.071249,
71,2023-03-20 17:27:13.257859,
72,2023-03-20 17:27:15.435967,
73,2023-03-20 17:27:17.027630,
74,2023-03-20 17:27:19.317285,
75,2023-03-20 17:27:20.234978,
76,2023-03-20 17:27:21.261720,
77,2023-03-20 17:27:23.344507,
78,2023-03-20 17:27:24.240288,
79,2023-03-20 17:27:25.991398,
80,2023-03-20 17:27:27.330047,
81,2023-03-20 17:27:28.827477,
82,2023-03-20 17:27:29.677841,
83,2023-03-20 17:27:31.202851,
84,2023-03-20 17:27:33.394710,
85,2023-03-20 17:27:35.474459,
86,2023-03-20 17:27:37.736180,
87,2023-03-20 17:27:39.842736,
88,2023-03-20 17:27:42.014407,
89,2023-03-20 17:27:42.943319,
90,2023-03-20 17:27:45.123596,
91,2023-03-20 17:27:47.072496,
92,2023-03-20 17:27:49.200572,
93,2023-03-20 17:27:50.732436,
94,2023-03-20 17:27:52.120636,
95,2023-04-19 03:48:07.012944,
96,2023-04-19 03:48:07.871412,
97,2023-04-19 03:48:08.218637,
98,2023-04-19 03:48:09.566822,
99,2023-04-19 03:48:10.525348,
100,2023-04-19 03:48:11.036133,
101,2023-04-19 03:48:11.377919,
102,2023-04-19 03:48:11.786627,
103,2023-04-19 03:48:12.210410,
104,2023-04-19 03:48:12.561504,
105,2023-04-19 03:48:12.914596,
106,2023-04-19 03:48:13.287952,
107,2023-04-19 03:48:13.615311,
108,2023-04-19 03:48:14.029538,
109,2023-04-19 03:48:14.526924,
110,2023-04-19 03:48:15.243126,
111,2023-04-19 03:48:15.588929,
112,2023-04-19 03:48:15.959274,
113,2023-04-19 03:48:16.348764,
114,2023-04-19 03:48:16.705491,
115,2023-04-19 03:48:17.306377,
116,2023-04-19 03:48:17.649049,
117,2023-04-19 03:48:18.018765,
118,2023-04-19 03:48:18.346285,
119,2023-04-19 03:48:18.668526,
120,2023-04-19 03:48:19.066392,
121,2023-04-19 03:48:19.443901,
122,2023-04-19 03:48:19.807807,
123,2023-04-19 03:48:20.289515,
124,2023-04-19 03:48:20.663786,
125,2023-04-19 03:48:21.086555,
126,2023-04-19 03:48:21.486559,
127,2023-04-19 03:48:21.904376,
128,2023-04-19 03:48:22.271862,
129,2023-04-19 03:48:22.610731,
130,2023-04-19 03:48:22.965529,
131,2023-04-19 03:48:23.295446,
132,2023-04-19 03:48:23.763061,
133,2023-04-19 03:48:24.094457,
134,2023-04-19 03:48:24.438777,
135,2023-04-19 03:48:24.783052,
136,2023-04-19 03:48:25.114708,
137,2023-04-19 03:48:25.682522,
138,2023-04-19 03:48:26.029231,
139,2023-04-19 03:48:26.364478,
140,2023-04-19 03:48:26.715932,
141,2023-04-19 03:48:27.200608,
142,2023-04-19 03:48:27.588672,
143,2023-04-19 03:48:27.936328,
144,2023-04-19 03:48:28.272845,
145,2023-04-19 03:48:28.630169,
146,2023-04-19 03:48:29.021742,
147,2023-04-19 03:48:29.352584,
148,2023-04-19 03:48:29.752972,
149,2023-04-19 03:48:30.093486,
150,2023-04-19 03:48:30.461509,
151,2023-04-19 03:48:30.818851,
152,2023-04-19 03:48:31.287691,
153,2023-04-19 03:48:31.625979,
154,2023-04-19 03:48:32.655588,
155,2023-04-19 03:48:33.063612,
156,2023-04-19 03:48:33.393088,
157,2023-04-19 03:48:33.740860,
158,2023-04-19 03:48:34.067407,
159,2023-04-19 03:48:34.494381,
160,2023-04-19 03:48:34.837783,
161,2023-04-19 03:48:35.189213,
162,2023-04-19 03:48:35.528215,
163,2023-04-19 03:48:35.863828,
164,2023-04-19 03:48:36.608209,
165,2023-04-19 03:48:36.971014,
166,2023-04-19 03:48:37.328362,
167,2023-04-19 03:48:37.665520,
168,2023-04-19 03:48:37.996590,
169,2023-04-19 03:48:38.777790,
170,2023-04-19 03:48:39.110219,
171,2023-04-19 03:48:39.472427,
172,2023-04-19 03:48:39.832565,
173,2023-04-19 03:48:40.180480,
174,2023-04-19 03:48:40.949281,
175,2023-04-19 03:48:41.326434,
176,2023-04-19 03:48:41.688333,
177,2023-04-19 03:48:42.030782,
178,2023-04-19 03:48:42.709479,
179,2023-04-19 03:48:43.068388,
180,2023-04-19 03:48:43.969520,
181,2023-04-19 03:48:44.301329,
182,2023-04-19 03:48:44.689716,
183,2023-04-19 03:48:45.035870,
184,2023-04-19 03:48:45.853027,
185,2023-04-19 03:48:46.202929,
186,2023-04-19 03:48:47.056638,
187,2023-04-19 03:48:47.399556,
188,2023-04-19 03:48:47.736948,
189,2023-04-19 03:48:48.274754,
190,2023-04-19 03:48:48.665965,
191,2023-04-19 03:48:49.010248,
192,2023-04-19 03:48:50.122130,
193,2023-04-19 03:48:50.476416,
194,2023-04-19 03:48:51.040412,
195,2023-04-19 03:48:51.451275,
196,2023-04-19 03:48:51.957552,
197,2023-04-19 03:48:52.339809,
198,2023-04-19 03:48:52.681855,
199,2023-04-19 03:48:53.100606,
200,2023-04-19 03:48:53.439642,
201,2023-04-19 03:48:53.793314,
202,2023-04-19 03:48:54.175623,
203,2023-04-19 03:48:55.406327,
204,2023-04-19 03:48:55.735500,
205,2023-04-19 03:48:56.135548,
206,2023-04-19 03:48:56.463075,
207,2023-04-19 03:48:56.984449,
208,2023-04-19 03:48:57.367526,
209,2023-04-19 03:48:57.721485,
210,2023-04-19 03:48:58.276086,
211,2023-04-19 03:48:58.609228,
212,2023-04-19 03:48:58.959143,
213,2023-04-19 03:49:01.351215,
214,2023-04-19 03:49:01.696531,
215,2023-04-19 03:49:02.066431,
216,2023-04-19 03:49:02.429032,
217,2023-04-19 03:49:02.767159,
218,2023-04-19 03:49:04.066849,
219,2023-04-19 03:49:04.504090,
220,2023-04-19 03:49:04.861808,
221,2023-04-19 03:49:06.097045,
222,2023-04-19 03:49:06.463150,
223,2023-04-19 03:49:06.877021,
224,2023-04-19 03:49:07.247104,
225,2023-04-19 03:49:07.874184,
226,2023-04-19 03:49:08.316668,
227,2023-04-19 03:49:08.676501,
228,2023-04-19 03:49:10.968824,
229,2023-04-19 03:49:11.291362,
230,2023-04-19 03:49:11.632121,
231,2023-04-19 03:49:12.922890,
232,2023-04-19 03:49:13.573825,
233,2023-04-19 03:49:14.078622,
234,2023-04-19 03:49:14.460885,
235,2023-04-19 03:49:14.793178,
236,2023-04-19 03:49:15.149032,
237,2023-04-19 03:49:15.517899,
238,2023-04-19 03:49:16.439733,
239,2023-04-19 03:49:17.008540,
240,2023-04-19 03:49:18.753237,
241,2023-04-19 03:49:22.364748,
242,2023-04-19 03:49:22.963748,
243,2023-04-19 03:49:24.025227,
244,2023-04-19 03:49:25.647049,
245,2023-04-19 03:49:25.974598,
246,2023-04-19 03:49:27.717232,
247,2023-04-19 03:49:28.499180,
248,2023-04-19 03:49:30.966851,
249,2023-04-19 03:49:31.389659,
250,2023-04-19 03:49:31.855845,
251,2023-04-19 03:49:32.242353,
252,2023-04-19 03:49:32.833220,
253,2023-04-19 03:49:33.294308,
254,2023-04-19 03:49:33.646833,
255,2023-04-19 03:49:34.543347,
256,2023-04-19 03:49:35.007437,
257,2023-04-19 03:49:35.369070,
258,2023-04-19 03:49:36.520745,
259,2023-04-19 03:49:36.892306,
260,2023-04-19 03:49:39.457514,
261,2023-04-19 03:49:39.827471,
262,2023-04-19 03:49:40.176340,
263,2023-04-19 03:49:41.337964,
264,2023-04-19 03:49:41.789142,
265,2023-04-19 03:49:42.481538,
266,2023-04-19 03:49:44.050986,
267,2023-04-19 03:49:44.565701,
268,2023-04-19 03:49:48.614691,
269,2023-04-19 03:49:49.825949,
270,2023-04-19 03:49:51.698541,
271,2023-04-19 03:49:52.410705,
272,2023-04-19 03:49:53.209591,
273,2023-04-19 03:49:53.553797,
274,2023-04-19 03:49:54.336092,
275,2023-04-19 03:49:55.253535,
276,2023-04-19 03:49:56.954653,
277,2023-04-19 03:49:57.964061,
278,2023-04-19 03:49:59.796091,
279,2023-04-19 03:50:00.185454,
280,2023-04-19 03:50:02.762224,
281,2023-04-19 03:50:03.539975,
282,2023-04-19 03:50:04.070178,
283,2023-04-19 03:50:06.208636,
284,2023-04-19 03:50:07.996558,
285,2023-04-19 03:50:08.388609,
286,2023-04-19 03:50:08.723601,
287,2023-04-19 03:50:10.065006,
288,2023-04-19 03:50:10.426050,
289,2023-04-19 03:50:10.954505,
290,2023-04-19 03:50:12.465157,
291,2023-04-19 03:50:13.087678,
292,2023-04-19 03:50:13.989908,
293,2023-04-19 03:50:15.550704,
294,2023-04-19 03:50:16.362699,
295,2023-04-19 03:50:16.724496,
296,2023-04-19 03:50:17.062306,
297,2023-04-19 03:50:17.575951,
298,2023-04-19 03:50:18.387621,
299,2023-04-19 03:50:19.210789,
300,2023-04-19 03:50:19.583373,
301,2023-04-19 03:50:21.267938,
302,2023-04-19 03:50:24.001807,
303,2023-04-19 03:50:24.391265,
304,2023-04-19 03:50:25.522415,
305,2023-04-19 03:50:25.926589,
306,2023-04-19 03:50:26.585028,
307,2023-04-19 03:50:26.984587,
308,2023-04-19 03:50:28.246102,
309,2023-04-19 03:50:29.397938,
310,2023-04-19 03:50:30.213026,
311,2023-04-19 03:50:32.058559,
312,2023-04-19 03:50:32.657726,
313,2023-04-19 03:50:33.032555,
314,2023-04-19 03:50:33.603207,
315,2023-04-19 03:50:34.887962,
316,2023-04-19 03:50:35.261415,
317,2023-04-19 03:50:35.685615,
318,2023-04-19 03:50:36.438146,
319,2023-04-19 03:50:36.833510,
320,2023-04-19 03:50:40.660084,
321,2023-04-19 03:50:41.126308,
322,2023-04-19 03:50:42.222078,
323,2023-04-19 03:50:42.622161,
324,2023-04-19 03:50:43.497466,
325,2023-04-19 03:50:43.890749,
326,2023-04-19 03:50:44.613031,
327,2023-04-19 03:50:45.087927,
328,2023-04-19 03:50:48.634280,
329,2023-04-19 03:50:48.961373,
330,2023-04-19 03:50:49.305726,
331,2023-04-19 03:50:50.435907,
332,2023-04-19 03:50:50.808386,
333,2023-04-19 03:50:51.265173,
334,2023-04-19 03:50:51.780436,
335,2023-04-19 03:50:52.122881,
336,2023-04-19 03:50:52.825733,
337,2023-04-19 03:50:53.169885,
338,2023-04-19 03:50:53.493962,
339,2023-04-19 03:50:53.853035,
340,2023-04-19 03:50:54.205590,
341,2023-04-19 03:50:54.631167,
342,2023-04-19 03:50:54.967133,
343,2023-04-19 03:50:55.280656,
344,2023-04-19 03:50:55.635178,
345,2023-04-19 03:50:55.998781,
346,2023-04-19 03:50:56.737823,
347,2023-04-19 03:50:57.084190,
348,2023-04-19 03:50:57.420110,
349,2023-04-19 03:50:57.805647,
350,2023-04-19 03:50:58.159353,
351,2023-04-19 03:50:58.492784,
352,2023-04-19 03:50:58.836857,
353,2023-04-19 03:50:59.164327,
354,2023-04-19 03:50:59.519332,
355,2023-04-19 03:50:59.885687,
356,2023-04-19 03:51:00.305509,
357,2023-04-19 03:51:00.694060,
358,2023-04-19 03:51:01.120439,
359,2023-04-19 03:51:01.478474,
360,2023-04-19 03:51:01.830179,
361,2023-04-19 03:51:02.194763,
362,2023-04-19 03:51:03.156975,
363,2023-04-19 03:51:03.469558,
364,2023-04-19 03:51:04.005091,
365,2023-04-19 03:51:05.182938,
366,2023-04-19 03:51:05.517881,
367,2023-04-19 03:51:05.842261,
368,2023-04-19 03:51:06.186177,
369,2023-04-19 03:51:06.788135,
370,2023-04-19 03:51:07.962579,
371,2023-04-19 03:51:08.408269,
372,2023-04-19 03:51:08.770911,
373,2023-04-19 03:51:09.195337,
374,2023-04-19 03:51:09.631364,
375,2023-04-19 03:51:10.166821,
376,2023-04-19 03:51:10.519708,
377,2023-04-19 03:51:11.078866,
378,2023-04-19 03:51:11.487454,
379,2023-04-19 03:51:11.882609,
380,2023-04-19 03:51:12.306189,
381,2023-04-19 03:51:13.342507,
382,2023-04-19 03:51:13.716567,
383,2023-04-19 03:51:14.106515,
384,2023-04-19 03:51:14.685422,
385,2023-04-19 03:51:15.015607,
386,2023-04-19 03:51:15.402445,
387,2023-04-19 03:51:15.769228,
388,2023-04-19 03:51:16.243618,
389,2023-04-19 03:51:16.643227,
390,2023-04-19 03:51:17.017287,
391,2023-04-19 03:51:17.399439,
392,2023-04-19 03:51:17.887764,
393,2023-04-19 03:51:18.286792,
394,2023-04-19 03:51:18.622760,
395,2023-04-19 03:51:19.259479,
396,2023-04-19 03:51:19.702130,
397,2023-04-19 03:51:20.049020,
398,2023-04-19 03:51:21.129966,
399,2023-04-19 03:51:21.533202,
400,2023-04-19 03:51:22.059070,
401,2023-04-19 03:51:22.450473,
402,2023-04-19 03:51:22.838859,
403,2023-04-19 03:51:23.229312,
404,2023-04-19 03:51:23.601689,
405,2023-04-19 03:51:24.095620,
406,2023-04-19 03:51:24.467293,
407,2023-04-19 03:51:25.398627,
408,2023-04-19 03:51:25.802056,
409,2023-04-19 03:51:26.188195,
410,2023-04-19 03:51:26.652605,
411,2023-04-19 03:51:27.083419,
412,2023-04-19 03:51:27.673421,
413,2023-04-19 03:51:28.052598,
414,2023-04-19 03:51:28.449757,
415,2023-04-19 03:51:28.810943,
416,2023-04-19 03:51:29.212949,
417,2023-04-19 03:51:29.623635,
418,2023-04-19 03:51:30.005896,
419,2023-04-19 03:51:30.439638,
420,2023-04-19 03:51:30.951934,
421,2023-04-19 03:51:31.345735,
422,2023-04-19 03:51:31.735930,
423,2023-04-19 03:51:32.145719,
424,2023-04-19 03:51:32.538126,
425,2023-04-19 03:51:32.910739,
426,2023-04-19 03:51:33.294196,
427,2023-04-19 03:51:33.703579,
428,2023-04-19 03:51:34.107129,
429,2023-04-19 03:51:34.485329,
430,2023-04-19 03:51:34.877740,
431,2023-04-19 03:51:35.268467,
432,2023-04-19 03:51:35.677855,
433,2023-04-19 03:51:36.054626,
434,2023-04-19 03:51:37.156025,
435,2023-04-19 03:51:37.531661,
436,2023-04-19 03:51:37.905968,
437,2023-04-19 03:51:38.291207,
438,2023-04-19 03:51:38.639569,
439,2023-04-19 03:51:39.749327,
440,2023-04-19 03:51:40.197024,
441,2023-04-19 03:51:40.581304,
442,2023-04-19 03:51:41.022029,
443,2023-04-19 03:51:41.401932,
444,2023-04-19 03:51:42.020680,
445,2023-04-19 03:51:42.402015,
446,2023-04-19 03:51:43.834056,
447,2023-04-19 03:51:44.176455,
448,2023-04-19 03:51:44.496302,
449,2023-04-19 03:51:44.820694,
450,2023-04-19 03:51:45.204450,
451,2023-04-19 03:51:45.572251,
452,2023-04-19 03:51:46.222862,
453,2023-04-19 03:51:46.593144,
454,2023-04-19 03:51:46.959854,
455,2023-04-19 03:51:47.563091,
456,2023-04-19 03:51:47.965875,
457,2023-04-19 03:51:48.347812,
458,2023-04-19 03:51:48.865471,
459,2023-04-19 03:51:49.371104,
460,2023-04-19 03:51:49.727279,
461,2023-04-19 03:51:50.102314,
