,date,value
0,2023-04-15 14:54:13.783093,
1,2023-04-15 14:54:14.897662,
2,2023-04-15 14:54:15.919152,
3,2023-04-15 14:54:17.243161,
4,2023-04-15 14:54:18.120328,
5,2023-04-15 14:54:19.359136,
6,2023-04-15 14:54:20.434780,
7,2023-04-15 14:54:22.742314,
8,2023-04-15 14:54:23.997332,
9,2023-04-15 14:54:25.368498,
10,2023-04-15 14:54:27.021539,
11,2023-04-15 14:54:27.832184,
12,2023-04-15 14:54:28.939545,
13,2023-04-15 14:54:29.718722,
14,2023-04-15 14:54:30.582994,
15,2023-04-15 14:54:31.393999,
16,2023-04-15 14:54:32.375437,
17,2023-04-15 14:54:33.489110,
18,2023-04-15 14:54:34.594736,
19,2023-04-15 14:54:35.149715,
20,2023-04-15 14:54:36.015483,
21,2023-04-15 14:54:36.557124,
22,2023-04-15 14:54:37.382504,
23,2023-04-15 14:54:38.271442,
24,2023-04-15 14:54:39.322324,
25,2023-04-15 14:54:40.454682,
26,2023-04-15 14:54:41.838790,
27,2023-04-15 14:54:43.077251,
28,2023-04-15 14:54:44.219002,
29,2023-04-15 14:54:45.025242,
30,2023-04-15 14:54:45.810435,
31,2023-04-15 14:54:46.580130,
32,2023-04-15 14:54:47.689931,
33,2023-04-15 14:54:50.234203,
34,2023-04-15 14:54:52.301083,
35,2023-04-15 14:54:53.155912,
36,2023-04-15 14:54:54.760701,
37,2023-04-15 14:54:55.490890,
38,2023-04-15 14:54:57.063618,
39,2023-04-15 14:54:57.887813,
40,2023-04-15 14:54:58.404421,
41,2023-04-15 14:55:00.404967,
42,2023-04-15 14:55:00.925262,
43,2023-04-15 14:55:02.169993,
44,2023-04-15 14:55:02.961219,
45,2023-04-15 14:55:05.644106,
46,2023-04-15 14:55:06.740657,
47,2023-04-15 14:55:09.798848,
48,2023-04-15 14:55:10.328718,
49,2023-04-15 14:55:11.381643,
50,2023-04-15 14:55:14.232338,
51,2023-04-15 14:55:15.521558,
52,2023-04-15 14:55:17.969880,
53,2023-04-15 14:55:18.512369,
54,2023-04-15 14:55:19.369131,
55,2023-04-15 14:55:20.731385,
56,2023-04-15 14:55:24.679278,
57,2023-04-15 14:55:26.769152,
58,2023-04-15 14:55:27.588881,
59,2023-04-15 14:55:28.460767,
60,2023-04-15 14:55:29.460830,
61,2023-04-15 14:55:30.327829,
62,2023-04-15 14:55:31.378302,
63,2023-04-15 14:55:32.650021,
64,2023-04-15 14:55:33.446341,
65,2023-04-15 14:55:34.266388,
66,2023-04-15 14:55:35.147599,
67,2023-04-15 14:55:36.994081,
68,2023-04-15 14:55:37.919116,
69,2023-04-15 14:55:39.024444,
70,2023-04-15 14:55:40.067164,
71,2023-04-15 14:55:41.262849,
72,2023-04-15 14:55:43.267834,
73,2023-04-15 14:55:44.178342,
74,2023-04-15 14:55:44.983313,
75,2023-04-15 14:55:48.089313,
76,2023-04-15 14:55:50.113135,
77,2023-04-15 14:55:50.907424,
78,2023-04-15 14:55:52.018813,
79,2023-04-15 14:55:53.032954,
80,2023-04-15 14:55:54.096333,
81,2023-04-15 14:55:54.890141,
82,2023-04-15 14:55:55.962426,
83,2023-04-15 14:55:56.777760,
84,2023-04-15 14:55:57.564929,
85,2023-04-15 14:55:58.877427,
86,2023-04-15 14:55:59.979179,
87,2023-04-15 14:56:00.707122,
88,2023-04-15 14:56:02.534048,
89,2023-04-15 14:56:06.903991,
90,2023-04-15 14:56:07.632624,
91,2023-04-15 14:56:09.563548,
92,2023-04-15 14:56:10.848895,
93,2023-04-15 14:56:15.857636,
94,2023-04-15 14:56:16.899481,
95,2023-04-15 14:56:18.135446,
96,2023-04-15 14:56:23.872749,
97,2023-04-15 14:56:28.771588,
98,2023-04-15 14:56:30.395857,
99,2023-04-15 14:56:34.749811,
100,2023-04-15 14:56:35.747590,
101,2023-04-15 14:56:40.123809,
102,2023-04-15 14:56:40.924972,
103,2023-04-15 14:56:41.959881,
104,2023-04-15 14:56:44.175559,
105,2023-04-15 14:56:46.088113,
106,2023-04-15 14:56:47.363891,
107,2023-04-15 14:56:49.130002,
108,2023-04-15 14:56:49.943056,
109,2023-04-15 14:56:50.825978,
110,2023-04-15 14:56:52.197582,
111,2023-04-15 14:56:52.927602,
112,2023-04-15 14:56:53.957229,
113,2023-04-15 14:56:54.902806,
114,2023-04-15 14:56:57.837120,
115,2023-04-15 14:56:58.762500,
116,2023-04-15 14:57:00.334509,
117,2023-04-15 14:57:01.091112,
118,2023-04-15 14:57:01.978769,
119,2023-04-15 14:57:02.961600,
120,2023-04-15 14:57:03.945270,
121,2023-04-15 14:57:05.235119,
122,2023-04-15 14:57:06.412117,
123,2023-04-15 14:57:07.195903,
124,2023-04-15 14:57:08.828803,
125,2023-04-15 14:57:09.371145,
126,2023-04-15 14:57:10.215065,
127,2023-04-15 14:57:12.392037,
128,2023-04-15 14:57:14.101223,
