,date,value
0,2023-04-19 16:40:40.960168,
1,2023-04-19 16:40:46.034121,
2,2023-04-19 16:40:48.505440,
3,2023-04-19 16:40:50.783926,
4,2023-04-19 16:40:52.321241,
5,2023-04-19 16:40:53.538325,
6,2023-04-19 16:40:55.156722,
7,2023-04-19 16:41:10.455228,
8,2023-04-19 16:41:12.988647,
9,2023-04-19 16:41:15.546872,
10,2023-04-19 16:41:19.876576,
11,2023-04-19 16:41:21.898332,
12,2023-04-19 16:41:38.575920,
13,2023-04-19 16:41:58.087555,
14,2023-04-19 16:42:10.843505,
15,2023-04-19 16:42:13.321749,
16,2023-04-19 16:42:20.347870,
17,2023-04-19 16:43:01.988088,
18,2023-04-19 16:43:23.979458,
19,2023-04-19 16:43:30.032046,
20,2023-04-19 16:43:32.081772,
21,2023-04-19 16:44:33.075373,
22,2023-04-19 16:44:44.676872,
23,2023-04-19 16:44:57.555213,
24,2023-04-19 16:45:01.818308,
25,2023-04-19 16:45:02.788310,
26,2023-04-19 16:45:57.548723,
27,2023-04-19 16:46:03.713420,
28,2023-04-19 16:46:06.466676,
29,2023-04-19 16:46:13.566788,
