,date,value
0,2023-03-20 17:25:13.546232,
1,2023-03-20 17:25:14.929261,
2,2023-03-20 17:25:15.737686,
3,2023-03-20 17:25:18.138726,
4,2023-03-20 17:25:20.012404,
5,2023-03-20 17:25:22.141765,
6,2023-03-20 17:25:24.026829,
7,2023-03-20 17:25:25.991224,
8,2023-03-20 17:25:33.830548,
9,2023-03-20 17:25:36.083340,
10,2023-03-20 17:25:37.479783,
11,2023-03-20 17:25:39.416869,
12,2023-03-20 17:25:41.589664,
13,2023-03-20 17:25:44.093687,
14,2023-03-20 17:25:45.998798,
15,2023-03-20 17:25:47.906821,
16,2023-03-20 17:25:53.731932,
17,2023-03-20 17:25:57.452285,
18,2023-03-20 17:25:58.990556,
19,2023-03-20 17:26:01.537016,
20,2023-03-20 17:26:03.155387,
21,2023-03-20 17:26:04.064804,
22,2023-03-20 17:26:05.561585,
23,2023-03-20 17:26:07.829492,
24,2023-03-20 17:26:09.130297,
25,2023-03-20 17:26:11.480741,
26,2023-03-20 17:26:13.774602,
27,2023-03-20 17:26:16.106233,
28,2023-03-20 17:26:21.331026,
29,2023-03-20 17:26:24.217054,
30,2023-03-20 17:26:26.109600,
31,2023-03-20 17:26:28.289787,
32,2023-03-20 17:26:30.702220,
33,2023-03-20 17:26:32.778600,
34,2023-03-20 17:26:35.021445,
35,2023-03-20 17:26:38.441848,
36,2023-03-20 17:26:41.916890,
37,2023-03-20 17:26:45.531160,
38,2023-03-20 17:26:47.403032,
39,2023-03-20 17:26:50.313171,
40,2023-03-20 17:26:55.348276,
41,2023-03-20 17:27:01.956686,
42,2023-03-20 17:27:03.978133,
43,2023-03-20 17:27:06.054335,
44,2023-03-20 17:27:09.438416,
45,2023-03-20 17:27:11.603810,
46,2023-03-20 17:27:13.833183,
47,2023-03-20 17:27:16.044124,
48,2023-03-20 17:27:17.579881,
49,2023-03-20 17:27:21.783760,
50,2023-03-20 17:27:26.481631,
51,2023-03-20 17:27:27.826398,
52,2023-03-20 17:27:31.684091,
53,2023-03-20 17:27:33.904799,
54,2023-03-20 17:27:36.134090,
55,2023-03-20 17:27:38.295984,
56,2023-03-20 17:27:40.478099,
57,2023-03-20 17:27:43.522239,
58,2023-03-20 17:27:45.640957,
59,2023-03-20 17:27:47.614857,
60,2023-03-20 17:27:51.233989,
61,2023-03-31 00:41:13.282844,
62,2023-03-31 00:41:14.954584,
63,2023-03-31 00:41:16.224290,
64,2023-03-31 00:41:16.857132,
65,2023-03-31 01:08:18.591930,
66,2023-03-31 01:08:19.123065,
67,2023-03-31 01:08:19.910062,
68,2023-03-31 01:08:20.469471,
69,2023-03-31 01:08:21.879961,
70,2023-04-15 14:54:14.075797,
71,2023-04-15 14:54:15.138266,
72,2023-04-15 14:54:16.267271,
73,2023-04-15 14:54:18.371970,
74,2023-04-15 14:54:19.621593,
75,2023-04-15 14:54:23.040939,
76,2023-04-15 14:54:24.318659,
77,2023-04-15 14:54:26.189311,
78,2023-04-15 14:54:30.031373,
79,2023-04-15 14:54:32.613714,
80,2023-04-15 14:54:33.761012,
81,2023-04-15 14:54:38.538347,
82,2023-04-15 14:54:39.595714,
83,2023-04-15 14:54:40.733319,
84,2023-04-15 14:54:42.275997,
85,2023-04-15 14:54:43.345172,
86,2023-04-15 14:54:46.855199,
87,2023-04-15 14:54:50.657868,
88,2023-04-15 14:54:53.479548,
89,2023-04-15 14:54:55.737924,
90,2023-04-15 14:54:59.371392,
91,2023-04-15 14:55:01.216049,
92,2023-04-15 14:55:03.215592,
93,2023-04-15 14:55:04.561211,
94,2023-04-15 14:55:07.860395,
95,2023-04-15 14:55:23.310531,
96,2023-04-15 14:55:24.953485,
97,2023-04-15 14:55:31.726818,
98,2023-04-15 14:55:38.217735,
99,2023-04-15 14:55:39.281491,
100,2023-04-15 14:55:40.437943,
101,2023-04-15 14:55:42.076406,
102,2023-04-15 14:55:45.745893,
103,2023-04-15 14:55:46.674786,
104,2023-04-15 14:55:49.344301,
105,2023-04-15 14:55:51.150613,
