,date,value
0,2023-03-31 00:41:13.043948,
1,2023-03-31 00:41:13.897713,
2,2023-03-31 00:41:14.548121,
3,2023-03-31 00:41:15.599795,
4,2023-03-31 00:41:17.575117,
5,2023-03-31 01:08:19.664810,
6,2023-03-31 01:08:20.976205,
7,2023-03-31 01:08:21.630249,
8,2023-03-31 01:08:22.442522,
9,2023-04-19 16:40:40.476909,
10,2023-04-19 16:40:41.924926,
11,2023-04-19 16:40:42.692911,
12,2023-04-19 16:40:43.738166,
13,2023-04-19 16:40:44.774160,
14,2023-04-19 16:40:45.765201,
15,2023-04-19 16:40:47.211584,
16,2023-04-19 16:40:48.244893,
17,2023-04-19 16:40:49.494560,
18,2023-04-19 16:40:50.502826,
19,2023-04-19 16:40:52.050122,
20,2023-04-19 16:40:53.250515,
21,2023-04-19 16:40:54.872339,
22,2023-04-19 16:40:56.344108,
23,2023-04-19 16:40:57.360756,
24,2023-04-19 16:40:58.365863,
25,2023-04-19 16:40:59.326129,
26,2023-04-19 16:41:00.392132,
27,2023-04-19 16:41:01.504856,
28,2023-04-19 16:41:02.801891,
29,2023-04-19 16:41:03.808645,
30,2023-04-19 16:41:04.768072,
31,2023-04-19 16:41:06.396872,
32,2023-04-19 16:41:07.747678,
33,2023-04-19 16:41:08.984688,
34,2023-04-19 16:41:10.169213,
35,2023-04-19 16:41:11.423199,
36,2023-04-19 16:41:12.639738,
37,2023-04-19 16:41:14.599916,
38,2023-04-19 16:41:15.260437,
39,2023-04-19 16:41:16.693974,
40,2023-04-19 16:41:17.614865,
41,2023-04-19 16:41:18.618347,
42,2023-04-19 16:41:19.588906,
43,2023-04-19 16:41:20.838887,
44,2023-04-19 16:41:22.818654,
45,2023-04-19 16:41:23.773671,
46,2023-04-19 16:41:24.746948,
47,2023-04-19 16:41:25.713036,
48,2023-04-19 16:41:26.706839,
49,2023-04-19 16:41:27.747508,
50,2023-04-19 16:41:28.769724,
51,2023-04-19 16:41:29.714105,
52,2023-04-19 16:41:31.064407,
53,2023-04-19 16:41:32.060596,
54,2023-04-19 16:41:33.136541,
55,2023-04-19 16:41:34.120738,
56,2023-04-19 16:41:35.127877,
57,2023-04-19 16:41:35.819680,
58,2023-04-19 16:41:36.490839,
59,2023-04-19 16:41:37.220314,
60,2023-04-19 16:41:38.298191,
61,2023-04-19 16:41:39.968474,
62,2023-04-19 16:41:41.134682,
63,2023-04-19 16:41:42.109978,
64,2023-04-19 16:41:43.040214,
65,2023-04-19 16:41:44.384270,
66,2023-04-19 16:41:45.767044,
67,2023-04-19 16:41:46.693608,
68,2023-04-19 16:41:47.449847,
69,2023-04-19 16:41:48.921961,
70,2023-04-19 16:41:49.840456,
71,2023-04-19 16:41:51.561951,
72,2023-04-19 16:41:52.593273,
73,2023-04-19 16:41:53.631652,
74,2023-04-19 16:41:54.547224,
75,2023-04-19 16:41:55.472630,
76,2023-04-19 16:41:56.396247,
77,2023-04-19 16:41:57.801684,
78,2023-04-19 16:42:01.929493,
79,2023-04-19 16:42:02.952845,
80,2023-04-19 16:42:04.259006,
81,2023-04-19 16:42:05.196142,
82,2023-04-19 16:42:06.076507,
83,2023-04-19 16:42:07.393066,
84,2023-04-19 16:42:08.337141,
85,2023-04-19 16:42:09.558932,
86,2023-04-19 16:42:10.532499,
87,2023-04-19 16:42:12.085340,
88,2023-04-19 16:42:13.064224,
89,2023-04-19 16:42:13.998306,
90,2023-04-19 16:42:15.236174,
91,2023-04-19 16:42:16.263495,
92,2023-04-19 16:42:17.691015,
93,2023-04-19 16:42:19.065694,
94,2023-04-19 16:42:20.090898,
95,2023-04-19 16:42:21.359791,
96,2023-04-19 16:42:23.786184,
97,2023-04-19 16:42:25.723130,
98,2023-04-19 16:42:26.663742,
99,2023-04-19 16:42:27.309399,
100,2023-04-19 16:42:28.796558,
101,2023-04-19 16:42:29.720470,
102,2023-04-19 16:42:30.776828,
103,2023-04-19 16:42:31.979246,
104,2023-04-19 16:42:33.122062,
105,2023-04-19 16:42:33.741117,
106,2023-04-19 16:42:34.695324,
107,2023-04-19 16:42:35.847675,
108,2023-04-19 16:42:36.765747,
109,2023-04-19 16:42:38.237757,
110,2023-04-19 16:42:39.382425,
111,2023-04-19 16:42:40.382330,
112,2023-04-19 16:42:41.577371,
113,2023-04-19 16:42:42.864589,
114,2023-04-19 16:42:43.734160,
115,2023-04-19 16:42:44.486585,
116,2023-04-19 16:42:45.411536,
117,2023-04-19 16:42:46.496973,
118,2023-04-19 16:42:48.031889,
119,2023-04-19 16:42:49.008660,
120,2023-04-19 16:42:50.709625,
121,2023-04-19 16:42:52.248416,
122,2023-04-19 16:42:53.210026,
123,2023-04-19 16:42:57.554004,
124,2023-04-19 16:42:58.528516,
125,2023-04-19 16:42:59.224351,
126,2023-04-19 16:43:00.585650,
127,2023-04-19 16:43:01.706428,
128,2023-04-19 16:43:03.351589,
129,2023-04-19 16:43:05.775253,
130,2023-04-19 16:43:06.550598,
131,2023-04-19 16:43:07.805772,
132,2023-04-19 16:43:08.786721,
133,2023-04-19 16:43:09.731104,
134,2023-04-19 16:43:10.571439,
135,2023-04-19 16:43:11.324401,
136,2023-04-19 16:43:12.688414,
137,2023-04-19 16:43:13.672031,
138,2023-04-19 16:43:15.052809,
139,2023-04-19 16:43:16.161549,
140,2023-04-19 16:43:18.788425,
141,2023-04-19 16:43:19.772368,
142,2023-04-19 16:43:21.088877,
143,2023-04-19 16:43:22.081038,
144,2023-04-19 16:43:22.731803,
145,2023-04-19 16:43:23.719029,
146,2023-04-19 16:43:24.880311,
147,2023-04-19 16:43:25.807942,
148,2023-04-19 16:43:26.509101,
149,2023-04-19 16:43:28.490192,
150,2023-04-19 16:43:29.753841,
